tweet_id,username,tweet_content,tweet_label
1970449103516840253,Kapir Bahagia,"@ekokuntadhi1 @NyaiJagat matangkan MBG di Sekolah Rakyat dulu, tu kan sekolah asrama tentu harus siap dapur sekolah/asrama,  dari situ bisa dipakai sebagai pijakan bagaimana MBG seharusnya dilaksankan.",
1970449007827997030,Garely,"@LiliexJulianto kacaw kepala BGN 'mengecilkan angka' korban?

justru akar masalah adalah di penyelenggara MBG, dan BGN adalah bagian dari hulu penyelenggaraan MBG..!!!",
1970448997648314722,Djokontol WihDongo Laknatullah,"@si4riNew @ARSIPAJA Di kompare sama warteg2 dan rumah makan di Indonesia MBG blm ada apa2 nya, sejauh ini blm ada denger org keracunan abis makan dari warung makan , padahal udah brp ratus miliar porsi yg mereka jual ya kan.. 😁",
1970448987640750327,짱🩷No Day🩶,@ranitidine50mg Kak... liat kurs aja udh menyakitkan malah ditambah fitur MBG😫😫😫,
1970448943869046948,! Intana,"@Metro_TV Pliiis, mbg banyak korbannya. Bukan lagi bergizi, banyak makanan basi, gak enak, akirnya kebuang gak kemakan. Mending duit segitu buat bantu harga bahan pokok lebih murah",
1970448887732412592,Sυɳαɳ Sαɾƙҽɱ 𝙎𝙑𝘿,"Menyikapi banyaknya kasus keracunan dan tidak tertibnya pelaksanaan MBG di sekolah² membuat Ketua DPR RI angkat bicara.
Perlunya evaluasi total terhadap tata cara pengelolaan program MBG yg menelan anggaran sangat besar ini. 

https://t.co/8mmz6vjkx6",
1970448885064810772,Mahmud Sambas,"@Urrangawak Sebab itu lah lahan KORUPSI MU....  maka nya Kamu Ndak Mau MBG di hapus,kalau di alih kan musnah lah lahan Korupsumu .....",
1970448872465146188,ocha,@barengwarga Masih aja ada yg bangga2in MBG.! Masih saja ada yg bolehin anaknya makan MBG,
1970448812675330280,IPOL.ID,"https://t.co/5NRtmI4Dba

https://t.co/PEHK4IVwiH – Program Makan Bergizi Gratis (MBG) di Kabupaten Bandung Barat dihentikan sementara setelah 301 siswa di Kecamatan Cipongkor, mengalami dugaan keracunan massal pada Senin (22/9).

#mbg #KeracunanMBG #keracunan #ipol https://t.co/Cifzpil3pk",
1970448778139443333,Resistance Diary ★,"Untuk menjelaskan fenomena keracunan MBG ini, cukup pakai analogi sederhana. Siapa Kepala BGN sekarang? Dadan Hindayana. Oke kalau misal MBG ini kita berikan ke Dadan saja terus dia keracunan dan jangan dicover asuransi apa pun kecuali BPJS, apakah ia masih sanggup cengar-cengir?",
1970448758166175980,Ivan Rinaldi,"@tempodotco Mbg nya gak bermasalah justru program ini bagus tapi alokasi nya sama sistem nya jelek bngt semoba banyak perbaikan dan untuk dapur atau vendor percayakan sama yg pengusaha resto atau catering,dengan dapur yg mmng standart dapur resto",
1970448748120809948,sasa for short,MBG DISTOP AJA BS GAK,
1970448703854088437,ri🧸,coyyy sepupu gue anak SD dpt MBG nya mie ayam donggg wkwkwkwkwkwk,
